Fill: ce9f7a Rect: [39.4, 153.3, 552.6, 175.2]
Fill: ffffff Rect: [21.9, 174.5, 570.1, 328.5]
Fill: ce9f7b Rect: [238.0, 327.8, 552.6, 340.9]
Fill: ce9f7b Rect: [238.0, 340.2, 552.6, 353.3]
Fill: ce9f7b Rect: [238.0, 352.6, 552.6, 365.7]
Fill: ce9f7b Rect: [238.0, 365.0, 552.6, 378.1]
Fill: 000000 Rect: [238.0, 328.5, 238.7, 378.1]
Fill: 000000 Rect: [308.1, 154.0, 308.8, 328.5]
Fill: 000000 Rect: [551.9, 154.0, 552.6, 378.1]
Fill: 000000 Rect: [21.2, 13.1, 22.6, 588.4]
Fill: 000000 Rect: [568.7, 14.6, 570.1, 588.4]
Fill: 000000 Rect: [39.4, 153.3, 40.1, 328.5]
Fill: 000000 Rect: [160.6, 154.0, 161.3, 328.5]
Fill: 000000 Rect: [308.1, 439.5, 308.8, 544.6]
Fill: 000000 Rect: [374.5, 154.0, 375.2, 378.1]
Fill: 000000 Rect: [551.9, 439.5, 552.6, 544.6]
Fill: 000000 Rect: [238.0, 438.7, 238.7, 544.6]
Fill: 000000 Rect: [446.8, 451.1, 447.5, 544.6]
Fill: 000000 Rect: [22.6, 13.1, 570.1, 14.6]
Fill: 000000 Rect: [40.2, 153.3, 552.6, 154.0]
Fill: 000000 Rect: [40.2, 174.5, 552.6, 175.2]
Fill: 000000 Rect: [40.2, 327.8, 552.6, 328.5]
Fill: 000000 Rect: [238.7, 340.2, 552.6, 340.9]
Fill: 000000 Rect: [238.7, 352.6, 552.6, 353.3]
Fill: 000000 Rect: [238.7, 365.0, 552.6, 365.7]
Fill: 000000 Rect: [238.7, 377.4, 552.6, 378.1]
Fill: 000000 Rect: [238.7, 438.7, 552.6, 439.5]
Fill: 000000 Rect: [238.7, 450.4, 552.6, 451.1]
Fill: 000000 Rect: [238.7, 512.5, 552.6, 513.2]
Fill: 000000 Rect: [238.7, 543.8, 552.6, 544.6]
Fill: 000000 Rect: [22.6, 586.9, 570.1, 588.4]
